spp_code,stories,below_crown_height,height,estimated_height,DBH
15003,over,,,775,16
15003,over,,,644,10
15003,over,,,757,15
15003,over,,,581,8
15003,over,,,581,8
15003,over,,,581,8
15003,over,,,717,13
15003,over,400,640,695,12
15003,over,380,570,644,10
15003,over,,,544,7
15003,over,,,544,7
15003,over,,,544,7
15003,over,,,544,7
15003,over,,,544,7
15003,over,,,544,7
15003,over,,,581,8
15003,over,,,581,8
15003,over,,,581,8
15003,over,,,544,7
15003,over,,,581,8
15003,over,,,644,10
15003,over,,,544,7
15003,over,,,614,9
15003,over,,,544,7
15003,over,,,544,7
15003,over,,,501,6
15003,over,320,580,614,9
15003,over,,,581,8
15003,over,,,501,6
15003,over,,,1105,15
15003,over,,,1222,20
15003,over,,,1401,31
15003,under,,,978,11
15003,over,,,1242,21
15003,over,,,1297,24
15003,over,,,1439,34
15003,over,,,1427,33
15003,over,,,1279,23
15003,over,,,978,11
15003,over,,,1077,14
15003,over,,,1439,34
14994,over,490,840,939,12
14994,over,600,1100,1151,21
14994,over,,,1132,20
14994,over,,,1286,30
14994,over,,,939,12
14994,over,,,906,11
14994,over,,,1168,22
14994,over,,,1151,21
14994,over,620,1180,1168,22
14994,over,,,1024,15
14994,over,,,997,14
14994,over,,,906,11
14994,over,,,1024,15
14994,over,,,1132,20
14994,under,,,939,12
15003,over,460,1240,1201,19
15003,over,,,1297,24
15003,over,910,1180,1313,25
15003,over,690,1040,1279,23
15003,over,,,1156,17
15003,over,520,1220,1345,27
15003,over,,,1313,25
15003,over,350,890,1131,16
15003,over,610,960,1077,14
15003,over,,,1261,22
15003,over,,,1077,14
15003,over,,,1329,26
15003,over,560,1060,1105,15
14994,over,890,1170,1048,16
15003,over,,,1297,24
14994,over,,,1113,19
14994,over,760,1010,997,14
15003,over,780,1390,1329,26
15003,over,,,1297,24
15003,over,940,1560,1297,24
15003,over,790,1260,1222,20
15003,over,,,1242,21
8931,under,,,958,11
12930,over,,,777,7
6525,over,,,1025,13
6525,under,,,920,10
8931,over,,,878,9
6525,over,,,1025,13
12930,over,,,878,9
8931,over,490,810,1025,13
15003,over,960,1300,1179,18
15003,over,,,1505,40
15003,over,,,1105,15
15003,over,,,1105,15
15003,over,,,1046,13
15003,over,,,1046,13
15003,over,,,1077,14
15003,over,,,1329,26
15003,over,530,990,1201,19
15003,over,710,1090,1242,21
15003,over,,,1427,33
15003,over,,,1105,15
15003,over,1080,1610,1261,22
14994,over,,,1246,27
6525,over,,,716,6
12930,over,,,716,6
12930,over,,,831,8
12930,over,,,716,6
17047,over,,,878,9
17047,over,220,580,831,8
12930,under,,,716,6
12930,under,,,716,6
12930,under,,,716,6
12930,under,,,716,6
12930,under,,,716,6
15003,over,,,1242,21
15003,over,,,1484,38
15003,over,470,1590,1596,50
15003,over,450,1510,1484,38
15003,over,,,1484,38
15003,under,,,794,7
15003,over,,,1401,31
15003,over,660,1570,1388,30
15003,over,600,1250,1242,21
15003,under,,,896,9
12930,over,,,716,6
15003,over,,,1588,49
15003,over,680,1000,1077,14
15003,over,810,1470,1401,31
15003,over,600,1570,1345,27
15003,over,620,1540,1473,37
15003,over,580,1140,1329,26
15003,over,,,1401,31
22332,under,,,596,8
22332,under,,,596,8
22332,under,,,558,7
22332,under,170,480,687,11
11673,under,,,558,7
10900,over,,,514,6
10900,over,220,600,596,8
10900,under,190,500,660,10
10900,under,,,712,12
6512,over,240,780,687,11
6512,under,,,630,9
17047,under,,,660,10
15003,over,390,1460,1263,31
15003,over,480,1370,1318,36
15003,over,230,1260,1337,38
15003,over,,,1408,46
15003,over,440,890,1063,18
15003,over,590,1220,1212,27
15003,over,,,1212,27
15003,over,520,1120,1153,23
15003,over,,,808,9
15003,over,,,1297,34
15003,over,,,1446,51
15003,over,,,1383,43
15003,over,,,1212,27
12961,under,,,630,9
22332,under,,,660,10
22332,under,250,550,712,12
17215,under,,,735,13
17215,under,,,514,6
17215,under,,,630,9
12961,under,,,558,7
17047,under,,,514,6
17047,under,,,558,7
11673,under,,,514,6
16122,under,,,558,7
16122,under,,,558,7
16122,under,,,558,7
16122,under,300,450,596,8
16122,under,,,558,7
16122,under,,,757,14
1008,under,220,540,540,11
1008,under,,,578,13
1008,under,,,438,7
1008,under,,,518,10
1008,under,,,438,7
14994,over,450,1300,1272,36
14994,over,300,690,882,12
14994,over,390,880,882,12
14994,over,410,790,984,16
14994,over,410,750,817,10
14994,under,360,760,738,8
14994,over,370,1670,1409,53
14994,under,,,936,14
14994,over,,,780,9
14994,over,,,910,13
6543,over,,,989,10
6543,over,250,630,1030,11
22332,over,,,596,8
19875,under,,,558,7
11693,over,,,660,10
11693,over,,,687,11
11693,over,,,712,12
19875,under,,,558,7
11693,under,,,558,7
1038,under,300,650,757,14
1038,under,130,650,660,10
11420,under,,,514,6
11420,under,,,596,8
22332,over,,,660,10
17215,over,210,550,558,7
1008,under,160,520,560,12
1008,over,,,518,10
1008,under,230,600,663,19
1008,under,,,560,12
1008,under,,,468,8
1008,under,,,495,9
1008,under,170,550,438,7
1008,over,270,550,518,10
6543,over,,,1030,11
6543,over,,,1163,15
6543,over,310,1270,1067,12
6543,over,420,1410,1191,16
6543,over,,,1102,13
6543,under,,,769,6
6543,over,,,1067,12
